CivilizationType,LocCivilizationType,TraitType,MediaName,LocTraitTypeName,LocTraitTypeDesc,CardType,Grants,Unused,Description
CIVILIZATION_AMERICA,LOC_CIVILIZATION_AMERICA_DESCRIPTION,TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO,Film_Studio_%28Civ6%29,LOC_TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO_NAME,LOC_TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO_DESCRIPTION,UI,,American unique building: Film Studio,Film Studio: replaces Broadcast Center. +100% Tourism pressure from this city towards other civilizations starting from the Modern Era.
CIVILIZATION_AMERICA,LOC_CIVILIZATION_AMERICA_DESCRIPTION,TRAIT_CIVILIZATION_FOUNDING_FATHERS,American_%28Civ6%29,LOC_TRAIT_CIVILIZATION_FOUNDING_FATHERS_NAME,LOC_TRAIT_CIVILIZATION_FOUNDING_FATHERS_EXPANSION2_DESCRIPTION,CA,,Founding Fathers,All Diplomatic policy slots in the current government are converted to Wildcard slots. +1 Diplomatic Favor per turn for each Wildcard slot in the current government.
CIVILIZATION_AMERICA,LOC_CIVILIZATION_AMERICA_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_AMERICAN_P51,P-51_Mustang_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_AMERICAN_P51_NAME,,UU,,American unique unit: P-51 Mustang,P-51 Mustang: replaces Fighter. +5 Combat Strength against fighter aircraft. Gains 50% more experience. Higher Combat Strength (105 vs. 100) and Ranged Strength (105 vs. 100). Higher Movement (10 vs. 8).
CIVILIZATION_ARABIA,LOC_CIVILIZATION_ARABIA_DESCRIPTION,TRAIT_CIVILIZATION_BUILDING_MADRASA,Madrasa_%28Civ6%29,LOC_TRAIT_CIVILIZATION_BUILDING_MADRASA_NAME,,UI,,Arabian unique building: Madrasa,Madrasa: replaces University and unlocked with Theology. +5 Science (1 more than university). Provides bonus Faith equal to the adjacency Science bonus of its district.
CIVILIZATION_ARABIA,LOC_CIVILIZATION_ARABIA_DESCRIPTION,TRAIT_CIVILIZATION_LAST_PROPHET,Arabian_%28Civ6%29,LOC_TRAIT_CIVILIZATION_LAST_PROPHET_NAME,LOC_TRAIT_CIVILIZATION_LAST_PROPHET_DESCRIPTION,CA,,The Last Prophet,Automatically receives the final Great Prophet when the next-to-last one is claimed (unless one has already been earned through other means). +1 Science per foreign city following Arabia's Religion.
CIVILIZATION_ARABIA,LOC_CIVILIZATION_ARABIA_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_ARABIAN_MAMLUK,Mamluk_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_ARABIAN_MAMLUK_NAME,,UU,,,"Mamluk: replaces Knight. Production cost increased from 180 to 220, Gold purchasing cost increased from 720 to 880, Gold maintenance cost increased from 3 to 4. Heals at the end of every turn, even if it moves or attacks."
CIVILIZATION_BRAZIL,LOC_CIVILIZATION_BRAZIL_DESCRIPTION,TRAIT_CIVILIZATION_AMAZON,Brazilian_%28Civ6%29,LOC_TRAIT_CIVILIZATION_AMAZON_NAME,LOC_TRAIT_CIVILIZATION_AMAZON_DESCRIPTION,CA,,Amazon,"Rainforest tiles provide a +1 adjacency bonus for Campus, Commercial Hub, Holy Site, and Theater Square districts, and provide +1 Appeal to adjacent tiles, instead of the usual -1."
CIVILIZATION_BRAZIL,LOC_CIVILIZATION_BRAZIL_DESCRIPTION,TRAIT_CIVILIZATION_STREET_CARNIVAL,Entertainment_Complex_%28Civ6%29,LOC_TRAIT_CIVILIZATION_STREET_CARNIVAL_NAME,,UI,,Brazilian unique district: Street Carnival,Street Carnival: replaces Zoo. Lower Production cost (27 vs. 54). +2 Amenities (up from 1 for Zoo) from entertainment to parent city.
CIVILIZATION_BRAZIL,LOC_CIVILIZATION_BRAZIL_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_BRAZILIAN_MINAS_GERAES,Minas_Geraes_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_BRAZILIAN_MINAS_GERAES_NAME,,UU,,Brazilian unique unit: Minas Geraes,Minas Geraes: replaces Battleship and is unlocked with Nationalism. Higher Combat Strength (70 vs. 60). Higher Ranged Strength (80 vs. 70). Higher Anti-Air strength (95 vs. 90).
CIVILIZATION_CHINA,LOC_CIVILIZATION_CHINA_DESCRIPTION,TRAIT_CIVILIZATION_DYNASTIC_CYCLE,Chinese_%28Civ6%29,LOC_TRAIT_CIVILIZATION_DYNASTIC_CYCLE_NAME,LOC_TRAIT_CIVILIZATION_DYNASTIC_CYCLE_EXPANSION2_DESCRIPTION,CA,,Dynastic Cycle,Eurekas and Inspirations provide an extra 10% of the Science and Culture cost for researching technologies and civics. Completing a Wonder grants a Eureka and Inspiration from that Wonder's era.
CIVILIZATION_CHINA,LOC_CIVILIZATION_CHINA_DESCRIPTION,TRAIT_CIVILIZATION_IMPROVEMENT_GREAT_WALL,Great_Wall_%28Civ6%29,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_GREAT_WALL_NAME,,UI,,Chinese unique improvement: Great Wall,Great Wall: tile improvement. Can only be built in a line on the current border of your territory. Occupying unit receives +4 Defense Strength and automatically gains 2 turns of fortification (+6 Defense Strength). +2 Gold. +2 Gold for each adjacent Great Wall. +2 Culture for each adjacent Great Wall (with Castles). Can only be pillaged but never removed by disasters.
CIVILIZATION_CHINA,LOC_CIVILIZATION_CHINA_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_CHINESE_CROUCHING_TIGER,Crouching_Tiger_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_CHINESE_CROUCHING_TIGER_NAME,,UU,,Chinese unique unit: Crouching Tiger,"Crouching Tiger: unique ranged unit, unlocks with Machinery. High Ranged Strength (50). Has a ranged attack with Range 1."
