CivilizationType,DLC
CIVILIZATION_AMERICA,Civilization VI Base Game
CIVILIZATION_ARABIA,Civilization VI Base Game
CIVILIZATION_AUSTRALIA,Australia Civilization & Scenario Pack 
CIVILIZATION_AZTEC,Civilization VI Base Game
CIVILIZATION_BABYLON_STK,New Frontier Pass
CIVILIZATION_BRAZIL,Civilization VI Base Game
CIVILIZATION_BYZANTIUM,New Frontier Pass
CIVILIZATION_CANADA,Gathering Storm expansion
CIVILIZATION_CHINA,Civilization VI Base Game
CIVILIZATION_CREE,Rise and Fall expansion
CIVILIZATION_EGYPT,Civilization VI Base Game
CIVILIZATION_ENGLAND,Civilization VI Base Game
CIVILIZATION_ETHIOPIA,New Frontier Pass
CIVILIZATION_FRANCE,Civilization VI Base Game
CIVILIZATION_GAUL,New Frontier Pass
CIVILIZATION_GEORGIA,Rise and Fall expansion
CIVILIZATION_GERMANY,Civilization VI Base Game
CIVILIZATION_GRAN_COLOMBIA,New Frontier Pass
CIVILIZATION_GREECE,Civilization VI Base Game
CIVILIZATION_HUNGARY,Gathering Storm expansion
CIVILIZATION_INCA,Gathering Storm expansion
CIVILIZATION_INDIA,Civilization VI Base Game
CIVILIZATION_INDONESIA,Khmer and Indonesia Civilization & Scenario Pack
CIVILIZATION_JAPAN,Civilization VI Base Game
CIVILIZATION_KHMER,Khmer and Indonesia Civilization & Scenario Pack
CIVILIZATION_KONGO,Civilization VI Base Game
CIVILIZATION_KOREA,Rise and Fall expansion
CIVILIZATION_MACEDON,Persia and Macedon Civilization & Scenario Pack 
CIVILIZATION_MALI,Gathering Storm expansion
CIVILIZATION_MAORI,Gathering Storm expansion
CIVILIZATION_MAPUCHE,Rise and Fall expansion
CIVILIZATION_MAYA,New Frontier Pass
CIVILIZATION_MONGOLIA,Rise and Fall expansion
CIVILIZATION_NETHERLANDS,Rise and Fall expansion
CIVILIZATION_NORWAY,Civilization VI Base Game
CIVILIZATION_NUBIA,Nubia Civilization & Scenario Pack 
CIVILIZATION_OTTOMAN,Gathering Storm expansion
CIVILIZATION_PERSIA,Persia and Macedon Civilization & Scenario Pack 
CIVILIZATION_PHOENICIA,Gathering Storm expansion
CIVILIZATION_POLAND,Poland Civilization & Scenario Pack 
CIVILIZATION_PORTUGAL,New Frontier Pass
CIVILIZATION_ROME,Civilization VI Base Game
CIVILIZATION_RUSSIA,Civilization VI Base Game
CIVILIZATION_SCOTLAND,Rise and Fall expansion
CIVILIZATION_SCYTHIA,Civilization VI Base Game
CIVILIZATION_SPAIN,Civilization VI Base Game
CIVILIZATION_SUMERIA,Civilization VI Base Game
CIVILIZATION_SWEDEN,Gathering Storm expansion
CIVILIZATION_VIETNAM,New Frontier Pass
CIVILIZATION_ZULU,Rise and Fall expansion
