Type,IconAtlas,Index
LEADER_ALEXANDER,ICON_ATLAS_MACEDON_PERSIA_ALEXANDER,0
LEADER_AMANITORE,ICON_ATLAS_AMANITORE,0
LEADER_AMBIORIX,ICON_ATLAS_BYZANTIUM_GAUL_AMBIORIX,0
LEADER_BARBAROSSA,ICON_ATLAS_LEADERS,1
LEADER_BASIL,ICON_ATLAS_BYZANTIUM_GAUL_BASIL,0
LEADER_CATHERINE_DE_MEDICI,ICON_ATLAS_LEADERS,2
LEADER_CATHERINE_DE_MEDICI_ALT,ICON_ATLAS_CHATERINE_DE_MEDICI_ALT,0
LEADER_CHANDRAGUPTA,ICON_ATLAS_EXPANSION_1_LEADERS,1
LEADER_CLEOPATRA,ICON_ATLAS_LEADERS,3
LEADER_CYRUS,ICON_ATLAS_MACEDON_PERSIA_CYRUS,0
LEADER_DIDO,ICON_ATLAS_EXPANSION_2_LEADERS,3
LEADER_ELEANOR_FRANCE,ICON_ATLAS_EXPANSION_2_LEADERS,9
LEADER_GANDHI,ICON_ATLAS_LEADERS,4
LEADER_GENGHIS_KHAN,ICON_ATLAS_EXPANSION_1_LEADERS,3
LEADER_GILGAMESH,ICON_ATLAS_LEADERS,5
LEADER_GITARJA,ICON_ATLAS_INDONESIA_KHMER_LEADERS,0
LEADER_GORGO,ICON_ATLAS_LEADERS,6
LEADER_HAMMURABI,ICON_ATLAS_BABYLON_HAMMURABI,0
LEADER_HARDRADA,ICON_ATLAS_LEADERS,7
LEADER_HOJO,ICON_ATLAS_LEADERS,8
LEADER_JADWIGA,ICON_ATLAS_JADWIGA,0
LEADER_JAYAVARMAN,ICON_ATLAS_INDONESIA_KHMER_LEADERS,1
LEADER_JOAO_III,ICON_ATLAS_PORTUGAL_LEADERS,0
LEADER_JOHN_CURTIN,ICON_ATLAS_CURTIN,0
LEADER_KRISTINA,ICON_ATLAS_EXPANSION_2_LEADERS,7
LEADER_KUBLAI_KHAN_MONGOLIA,ICON_ATLAS_KUBLAIKHAN_VIETNAM,2
LEADER_KUPE,ICON_ATLAS_EXPANSION_2_LEADERS,5
LEADER_LADY_SIX_SKY,ICON_ATLAS_GRANCOLOMBIA_MAYA_LADY_SIX_SKY,0
LEADER_LADY_TRIEU,ICON_ATLAS_KUBLAIKHAN_VIETNAM,0
LEADER_LAURIER,ICON_ATLAS_EXPANSION_2_LEADERS,6
LEADER_LAUTARO,ICON_ATLAS_EXPANSION_1_LEADERS,7
LEADER_MANSA_MUSA,ICON_ATLAS_EXPANSION_2_LEADERS,2
LEADER_MATTHIAS_CORVINUS,ICON_ATLAS_EXPANSION_2_LEADERS,0
LEADER_MENELIK,ICON_ATLAS_ETHIOPIA_MENELIK,0
LEADER_MONTEZUMA,ICON_ATLAS_MONTEZUMA,0
LEADER_MVEMBA,ICON_ATLAS_LEADERS,9
LEADER_PACHACUTI,ICON_ATLAS_EXPANSION_2_LEADERS,1
LEADER_PEDRO,ICON_ATLAS_LEADERS,10
LEADER_PERICLES,ICON_ATLAS_LEADERS,11
LEADER_PETER_GREAT,ICON_ATLAS_LEADERS,12
LEADER_PHILIP_II,ICON_ATLAS_LEADERS,13
LEADER_POUNDMAKER,ICON_ATLAS_EXPANSION_1_LEADERS,8
LEADER_QIN,ICON_ATLAS_LEADERS,14
LEADER_ROBERT_THE_BRUCE,ICON_ATLAS_EXPANSION_1_LEADERS,5
LEADER_SALADIN,ICON_ATLAS_LEADERS,15
LEADER_SEONDEOK,ICON_ATLAS_EXPANSION_1_LEADERS,4
LEADER_SHAKA,ICON_ATLAS_EXPANSION_1_LEADERS,0
LEADER_SIMON_BOLIVAR,ICON_ATLAS_GRANCOLOMBIA_MAYA_BOLIVAR,0
LEADER_SULEIMAN,ICON_ATLAS_EXPANSION_2_LEADERS,4
LEADER_TAMAR,ICON_ATLAS_EXPANSION_1_LEADERS,6
LEADER_TOMYRIS,ICON_ATLAS_LEADERS,16
LEADER_TRAJAN,ICON_ATLAS_LEADERS,17
LEADER_T_ROOSEVELT,ICON_ATLAS_LEADERS,18
LEADER_T_ROOSEVELT_ROUGHRIDER,ICON_ATLAS_TEDDY_ROOSEVELT_RR,0
LEADER_VICTORIA,ICON_ATLAS_LEADERS,19
LEADER_WILHELMINA,ICON_ATLAS_EXPANSION_1_LEADERS,2
